Source IP,Destination IP,Average Flow Duration,StdDev Flow Duration,Average Forward Packets,StdDev Forward Packets
3.111.75.244,192.168.20.48,4941.00,0.00,4.00,0.00
192.168.20.43,52.46.155.15,651848.00,243003.00,33.50,21.50
52.46.137.137,192.168.20.43,12438.00,11001.00,5.50,2.50
192.168.20.43,52.94.220.255,198159343.00,0.00,94.00,0.00
52.84.186.218,192.168.20.43,4662.00,2291.00,1.50,0.50
192.168.20.48,54.207.140.222,3615218.00,0.00,72.00,0.00
192.168.20.48,52.214.227.89,18478832588.00,13977818666.00,1323.50,988.50
52.84.174.66,192.168.20.43,1897.00,0.00,1.00,0.00
216.58.214.176,192.168.20.42,1165.00,0.00,1.00,0.00
192.168.20.43,52.46.133.115,22228645.00,0.00,19.00,0.00
192.168.20.42,64.233.184.188,3968501611.50,857416957.50,139.00,28.00
192.168.20.43,34.202.49.39,332247407.00,0.00,42.00,0.00
192.168.20.42,216.58.214.170,115991760.00,0.00,68.00,0.00
34.195.175.66,192.168.20.48,31509.00,0.00,10.00,0.00
192.168.20.48,52.20.206.121,5061213.50,2246238.50,308.50,136.50
192.168.20.43,54.208.221.42,1434811032.00,0.00,182.00,0.00
54.68.57.171,192.168.20.43,156.00,0.00,4.00,0.00
64.233.184.188,192.168.20.42,196294.00,0.00,2.00,0.00
192.168.20.43,44.240.184.205,25917998.50,6332401.50,75.00,17.00
192.168.20.42,172.217.18.206,195488566.00,0.00,36.00,0.00
192.168.20.48,52.94.224.149,397358.00,0.00,11.00,0.00
192.168.20.48,18.230.114.81,1709615.00,0.00,36.00,0.00
54.239.35.211,192.168.20.43,12281.00,0.00,2.00,0.00
192.168.20.42,216.58.214.176,431133707.00,0.00,190.00,0.00
192.168.20.48,54.253.143.250,9119062.00,0.00,141.00,0.00
54.243.58.104,192.168.20.48,18743.00,0.00,6.00,0.00
192.168.20.48,35.76.66.254,12405069.00,0.00,210.00,0.00
192.168.20.43,54.81.90.27,96921692.00,0.00,47.00,0.00
0.0.0.0,255.255.255.255,1020285.00,0.00,8.00,0.00
192.168.20.43,52.84.186.53,124057364.50,103218861.50,48.00,36.00
192.168.20.43,34.232.93.236,16113281.00,8035131.00,160.50,130.50
192.168.20.45,142.250.13.108,50371663.00,0.00,19.00,0.00
192.168.20.48,192.168.20.1,1730091.00,1524752.00,710.00,590.00
172.217.18.206,192.168.20.42,2130.00,0.00,2.00,0.00
192.168.20.48,3.24.199.219,3433240.00,0.00,54.00,0.00
192.168.20.43,52.71.238.202,96540048.00,0.00,35.00,0.00
192.168.20.43,52.73.50.224,35634617.00,0.00,484.00,0.00
192.168.20.48,3.69.3.200,111049.00,0.00,18.00,0.00
192.168.20.45,142.250.13.109,30156790.00,0.00,12.00,0.00
54.146.171.119,192.168.20.48,2244.00,0.00,2.00,0.00
54.239.35.210,192.168.20.43,1284.00,0.00,1.00,0.00
54.70.5.180,192.168.20.43,2577.00,0.00,1.00,0.00
192.168.20.43,44.227.96.221,26552385.00,0.00,100.00,0.00
192.168.20.42,216.239.35.0,131724.50,120400.50,16.50,14.50
192.168.20.20,52.215.192.19,25512590814.00,20694069213.00,1425.00,1159.00
192.168.20.48,176.32.101.122,393585.00,0.00,15.00,0.00
192.168.20.43,3.227.176.159,437168050.50,326539713.50,56.00,42.00
192.168.20.43,34.226.24.249,76962.00,0.00,1.00,0.00
192.168.20.43,209.54.177.154,874823.00,0.00,21.00,0.00
192.168.20.48,3.39.78.62,3191224.00,0.00,53.00,0.00
192.168.20.42,216.239.35.8,90044.00,72957.00,11.00,8.00
192.168.20.19,239.255.255.250,28470886140.50,23597964497.50,5046.00,4182.00
108.128.53.179,192.168.20.19,63.00,0.00,2.00,0.00
18.214.180.6,192.168.20.48,51329.00,0.00,18.00,0.00
192.168.20.48,54.157.203.98,3362177.00,1064541.00,195.00,48.00
192.168.20.42,216.239.35.4,71697.00,60184.00,12.50,10.50
192.168.20.43,54.92.134.147,631564721.50,582871177.50,82.00,72.00
54.239.26.255,192.168.20.43,12701.00,0.00,8.00,0.00
192.168.20.40,255.255.255.255,4975792417.00,0.00,165.00,0.00
192.168.20.48,54.217.255.252,377968.00,239773.00,44.50,26.50
192.168.20.43,44.199.138.71,25782920.00,0.00,43.00,0.00
192.168.20.43,52.46.143.12,391023.00,0.00,12.00,0.00
192.168.20.42,142.250.75.234,2938715.00,0.00,75.00,0.00
178.236.7.140,192.168.20.43,1651.00,0.00,1.00,0.00
35.161.60.59,192.168.20.48,8533.00,0.00,2.00,0.00
192.168.20.42,142.250.75.238,2136183775.00,1906819052.00,729.50,671.50
192.168.20.48,52.46.131.169,381792.00,0.00,15.00,0.00
192.168.20.43,52.222.175.76,1992316026.50,1810821622.50,1039.00,882.00
192.168.20.43,224.0.0.251,6473075015.50,5800040728.50,259.00,223.00
54.157.203.98,192.168.20.48,41404.00,34170.00,8.00,3.00
192.168.20.48,52.46.131.184,388897.00,0.00,14.00,0.00
192.168.20.42,224.0.0.251,24824775686.50,20909411057.50,3576.50,2979.50
192.168.20.42,224.0.0.250,21773798656.50,18113379732.50,710.00,589.00
192.168.20.43,54.239.35.211,75763921.50,12387810.50,33.00,20.00
192.168.20.43,52.84.174.68,30811286.00,0.00,12.00,0.00
192.168.20.43,54.164.103.224,96882246.00,0.00,42.00,0.00
192.168.20.43,54.239.27.116,477917.00,0.00,12.00,0.00
44.198.224.47,192.168.20.48,4791.00,0.00,2.00,0.00
192.168.20.43,255.255.255.255,6570.00,6421.00,36.00,30.00
192.168.20.43,54.239.35.210,46428497.00,25474920.00,13.50,0.50
192.168.20.43,52.84.174.66,644928.00,0.00,6.00,0.00
13.49.17.198,192.168.20.48,8042.50,5984.50,3.00,2.00
192.168.20.42,74.125.206.188,25657983108.00,0.00,1067.00,0.00
192.168.20.48,35.164.182.2,665156.00,0.00,14.00,0.00
192.168.20.42,66.102.1.188,37425446951.00,0.00,1308.00,0.00
108.136.174.255,192.168.20.48,16158.00,0.00,4.00,0.00
54.205.24.65,192.168.20.48,6873.00,4597.00,3.00,1.00
18.166.109.196,192.168.20.48,17308.00,0.00,4.00,0.00
52.47.108.103,192.168.20.48,6148.00,0.00,4.00,0.00
192.168.20.42,216.58.204.102,194931121.00,0.00,19.00,0.00
52.67.64.238,192.168.20.48,40722.00,0.00,8.00,0.00
192.168.20.43,239.255.255.250,51020029.00,42502991.00,618.00,513.00
192.168.20.48,209.54.179.93,472041.00,0.00,15.00,0.00
192.168.20.43,52.45.200.111,661389734.00,0.00,84.00,0.00
192.168.20.43,34.231.161.19,303284849.00,0.00,128.00,0.00
142.250.201.170,192.168.20.42,1127.00,0.00,1.00,0.00
52.46.129.152,192.168.20.43,1288.00,0.00,2.00,0.00
192.168.20.43,35.173.14.214,28422485.00,0.00,260.00,0.00
209.54.180.48,192.168.20.43,1290.00,0.00,2.00,0.00
52.95.123.17,192.168.20.43,1095.00,0.00,1.00,0.00
192.168.20.43,54.211.220.114,384234217.00,274983243.00,49.00,35.00
104.199.65.124,192.168.20.48,7014521.00,0.00,2.00,0.00
192.168.20.43,54.86.198.4,993411706.00,0.00,126.00,0.00
192.168.20.48,23.23.159.254,377425.00,0.00,18.00,0.00
192.168.20.48,3.37.195.5,3331570.00,0.00,54.00,0.00
192.168.20.19,52.210.32.69,5483629344.50,4987674295.50,1364.00,1240.00
192.168.20.43,52.94.236.45,1459657.00,0.00,73.00,0.00
209.54.180.49,192.168.20.43,79.00,0.00,2.00,0.00
192.168.20.43,52.94.235.74,747159.00,0.00,12.00,0.00
192.168.20.48,52.202.2.34,1854801.50,1482885.50,109.50,91.50
192.168.20.43,52.36.138.241,36687558.00,0.00,100.00,0.00
192.168.20.19,8.8.8.8,3687361.50,3511447.50,335.00,286.00
192.168.20.48,157.175.254.63,1195006.00,0.00,54.00,0.00
192.168.20.48,18.214.151.92,379235.00,0.00,26.00,0.00
192.168.20.42,74.125.133.188,38739700496.00,0.00,1749.00,0.00
52.46.155.15,192.168.20.43,1643.50,223.50,2.50,0.50
192.168.20.48,209.54.180.44,425445.00,0.00,15.00,0.00
52.46.138.235,192.168.20.48,16439.00,0.00,2.00,0.00
192.168.20.48,3.111.75.244,2000981.00,0.00,71.00,0.00
52.94.238.249,192.168.20.43,1410.00,0.00,3.00,0.00
192.168.20.48,224.0.0.251,341175844.00,279076568.00,66.00,54.00
192.168.20.20,8.8.8.8,207588.00,164053.00,6.00,4.00
192.168.20.43,34.237.106.83,290436183.00,0.00,108.00,0.00
54.166.21.152,192.168.20.48,76641.00,75471.00,8.00,7.00
192.168.20.43,52.84.186.193,336820111.00,0.00,119.00,0.00
192.168.20.43,54.166.21.152,13154973.00,0.00,23.00,0.00
192.168.20.42,216.58.206.234,272077671.00,181013623.00,209.00,174.00
52.212.160.211,192.168.20.43,3481.00,0.00,1.00,0.00
192.168.20.43,23.22.235.16,768381524.50,550037133.50,98.00,70.00
192.168.20.48,54.221.200.137,7438610.00,0.00,464.00,0.00
192.168.20.43,54.239.38.89,6647662.00,0.00,14.00,0.00
192.168.20.42,216.58.206.238,20332659.50,12193135.50,22.50,13.50
192.168.20.48,52.24.199.99,2655421.00,0.00,72.00,0.00
192.168.20.43,52.46.132.114,1015447.00,0.00,62.00,0.00
192.168.20.48,52.119.196.31,387863.00,0.00,15.00,0.00
192.168.20.42,199.232.58.248,374008034.00,0.00,72.00,0.00
176.32.99.246,192.168.20.43,7485.00,0.00,1.00,0.00
192.168.20.43,44.234.113.198,199441082.00,0.00,458.00,0.00
192.168.20.43,3.90.94.135,887127215.00,777764524.00,112.00,98.00
108.136.67.213,192.168.20.48,22059.00,0.00,3.00,0.00
52.84.174.18,192.168.20.43,20576.00,0.00,1.00,0.00
192.168.20.43,54.239.27.88,1199388.50,717270.50,51.50,39.50
216.58.206.234,192.168.20.42,6817.00,3436.00,4.50,1.50
192.168.20.42,173.194.76.188,5107642766.00,292970948.00,244.00,1.00
192.168.20.18,151.80.168.4,149063.00,123946.00,23.50,19.50
192.168.20.48,54.91.103.251,8479937.00,0.00,501.00,0.00
192.168.20.48,34.226.101.100,2019410.00,0.00,89.00,0.00
192.168.20.48,18.203.57.224,13710871697.00,13710871443.00,1026.00,1022.00
54.76.219.197,192.168.20.19,640.00,0.00,1.00,0.00
192.168.20.48,18.189.153.72,1674133.00,0.00,70.00,0.00
192.168.20.48,52.203.151.208,76889.00,0.00,1.00,0.00
192.168.20.19,120.25.115.20,2437608.50,2181355.50,9.50,8.50
192.168.20.48,209.54.180.27,389279.00,0.00,15.00,0.00
192.168.20.19,216.239.35.12,123435.00,98783.00,10.00,8.00
54.164.163.115,192.168.20.48,38342.00,0.00,11.00,0.00
16.163.205.165,192.168.20.48,8365.00,5179.00,2.00,1.00
192.168.20.43,3.208.140.212,20716387.00,0.00,139.00,0.00
192.168.20.43,3.224.166.115,21865070.00,17510804.00,168.50,151.50
192.168.20.43,52.94.224.4,545432.00,0.00,22.00,0.00
192.168.20.43,54.211.145.128,8583213228.50,4939712246.50,378.50,218.50
192.168.20.43,72.21.207.143,84245332.00,0.00,20.00,0.00
192.168.20.45,52.84.177.10,11750859.00,0.00,284.00,0.00
52.46.137.107,192.168.20.43,1408.00,0.00,2.00,0.00
52.46.145.112,192.168.20.43,1510.00,0.00,3.00,0.00
192.168.20.19,52.50.86.158,79945.00,0.00,11.00,0.00
192.168.20.48,3.37.12.80,1572848.50,524790.50,26.00,8.00
52.46.137.107,192.168.20.48,6305.00,0.00,3.00,0.00
192.168.20.43,18.232.172.63,493491701.00,384202833.00,63.00,49.00
192.168.20.48,13.41.22.196,389885.50,259190.50,62.00,44.00
192.168.20.19,54.170.25.88,62511.00,0.00,6.00,0.00
54.164.163.115,192.168.20.43,69.00,0.00,2.00,0.00
192.168.20.48,15.184.71.97,956013.00,553355.00,43.50,25.50
192.168.20.19,54.74.123.186,156429227.00,128380724.00,421.00,346.00
192.168.20.43,52.204.152.47,60877474.00,53285126.00,157.00,48.00
15.161.172.20,192.168.20.48,1153.00,0.00,1.00,0.00
13.53.153.247,192.168.20.48,39746.00,0.00,4.00,0.00
192.168.20.48,52.46.137.107,385828.00,0.00,12.00,0.00
192.168.20.43,52.84.174.18,30035203.00,0.00,6.00,0.00
192.168.20.48,54.86.109.9,21313380994.50,17670093116.50,936.00,776.00
192.168.20.48,52.47.108.103,344885.00,0.00,74.00,0.00
52.46.143.12,192.168.20.43,7579.00,0.00,2.00,0.00
52.46.153.141,192.168.20.43,10529.00,0.00,4.00,0.00
192.168.20.43,176.32.101.46,525295.00,0.00,16.00,0.00
192.168.20.48,108.136.67.213,2594026.00,0.00,54.00,0.00
34.237.111.59,192.168.20.48,39023.00,37438.00,7.50,6.50
192.168.20.48,15.184.2.25,1194400.00,793515.00,53.50,35.50
192.168.20.45,74.125.140.108,60445362.00,0.00,24.00,0.00
192.168.20.43,3.212.205.83,28428390.00,0.00,249.00,0.00
192.168.20.43,35.174.51.236,35186714.50,31139339.50,807.00,766.00
35.155.9.57,192.168.20.43,78.00,0.00,2.00,0.00
192.168.20.45,74.125.140.109,10059238.00,0.00,4.00,0.00
192.168.20.48,52.67.64.238,6954826.00,0.00,142.00,0.00
52.51.17.67,192.168.20.48,28051.00,0.00,3.00,0.00
192.168.20.45,142.250.110.109,30159597.00,0.00,12.00,0.00
192.168.20.19,216.239.35.0,57848.50,46308.50,10.00,8.00
18.203.57.224,192.168.20.48,718634555.50,718621160.50,87.00,66.00
192.168.20.43,52.205.164.240,329876255.50,219210751.50,42.00,28.00
52.94.220.255,192.168.20.43,17971.00,0.00,4.00,0.00
192.168.20.45,142.250.110.108,10080035.00,0.00,4.00,0.00
54.207.140.222,192.168.20.48,6836.00,0.00,4.00,0.00
44.193.236.65,192.168.20.48,41180.00,39844.00,8.00,7.00
192.168.20.48,34.237.111.59,3305537.00,2899895.00,201.50,182.50
192.168.20.45,74.125.71.108,10077027.00,0.00,4.00,0.00
192.168.20.43,54.68.57.171,19376605.50,7857089.50,44.50,13.50
192.168.20.19,216.239.35.8,79571.50,73928.50,10.00,9.00
192.168.20.48,52.46.138.235,438632.00,0.00,12.00,0.00
192.168.20.43,34.194.31.220,713412277.00,324146412.00,91.00,45.00
192.168.20.19,216.239.35.4,58427.50,52596.50,10.00,9.00
192.168.20.48,54.146.171.119,827598.00,0.00,36.00,0.00
192.168.20.43,18.233.46.225,27546873.00,0.00,299.00,0.00
192.168.20.43,52.94.217.134,600518322.00,0.00,236.00,0.00
192.168.20.48,8.8.8.8,4025434.50,3533805.50,299.50,245.50
192.168.20.43,54.239.26.255,1464061.00,0.00,61.00,0.00
13.58.242.30,192.168.20.48,4139.50,3036.50,2.00,1.00
192.168.20.43,52.37.30.201,75171575.00,0.00,134.00,0.00
192.168.20.43,54.239.33.207,1422823.00,0.00,25.00,0.00
192.168.20.43,52.46.143.123,89739749.00,0.00,31.00,0.00
18.203.57.224,192.168.20.43,21399.00,0.00,9.00,0.00
192.168.20.48,54.164.163.115,4976517.00,0.00,293.00,0.00
192.168.20.15,52.58.249.179,34054399669.50,28173362038.50,1527.00,1265.00
192.168.20.43,34.210.228.239,57388406.00,0.00,158.00,0.00
192.168.20.43,209.54.180.27,48806555.50,48278762.50,10.50,0.50
192.168.20.42,8.8.8.8,21630135253.00,17917706524.00,2873.00,2386.00
192.168.20.43,3.226.196.104,39330091.00,0.00,411.00,0.00
192.168.20.48,18.136.20.221,2371524.50,760922.50,53.50,17.50
15.184.2.25,192.168.20.48,29925.50,26219.50,3.00,2.00
192.168.20.48,52.51.17.67,508795.00,0.00,53.00,0.00
52.94.224.149,192.168.20.48,20205.00,0.00,3.00,0.00
192.168.20.48,18.214.180.6,8693780.00,0.00,517.00,0.00
192.168.20.48,54.193.143.35,1698855.50,1028059.50,45.00,27.00
192.168.20.48,52.46.131.209,389255.00,0.00,14.00,0.00
192.168.20.13,255.255.255.255,40850250063.00,33895139282.00,8519.50,7068.50
192.168.20.43,52.27.163.92,30586726.00,0.00,92.00,0.00
34.226.101.100,192.168.20.48,11326.00,0.00,5.00,0.00
192.168.20.48,3.96.104.178,4247218.00,0.00,178.00,0.00
192.168.20.43,52.212.160.211,25643577.00,0.00,24.00,0.00
192.168.20.42,216.58.206.227,215345849.00,0.00,170.00,0.00
192.168.20.43,52.16.104.93,26884890935.00,0.00,4369.00,0.00
192.168.20.42,216.58.213.74,5107944.00,0.00,22.00,0.00
54.242.128.35,192.168.20.48,47827.00,0.00,14.00,0.00
192.168.20.20,224.0.0.251,895694.00,770731.00,23.00,19.00
192.168.20.42,35.186.224.25,429611453.00,0.00,30.00,0.00
192.168.20.48,3.136.46.116,1674436.00,0.00,69.00,0.00
192.168.20.45,108.177.15.109,90759403.00,0.00,36.00,0.00
192.168.20.45,108.177.15.108,90675654.00,0.00,35.00,0.00
192.168.20.43,52.84.186.170,151045031.00,0.00,55.00,0.00
52.84.177.20,192.168.20.43,15876.50,13650.50,122.50,100.50
52.84.177.20,192.168.20.48,139609.50,119098.50,115.00,91.00
192.168.20.48,13.127.196.185,2967588.00,0.00,108.00,0.00
13.215.79.109,192.168.20.48,31648.00,0.00,4.00,0.00
52.84.186.170,192.168.20.43,15104.00,0.00,2.00,0.00
192.168.20.43,3.233.174.130,292521774.00,0.00,118.00,0.00
192.168.20.43,52.94.231.169,67399752.00,0.00,11.00,0.00
192.168.20.43,176.32.99.246,7798467.00,0.00,29.00,0.00
192.168.20.43,3.211.221.42,667982187.00,0.00,84.00,0.00
192.168.20.48,176.32.101.46,458162.00,0.00,14.00,0.00
192.168.20.48,15.161.172.20,166627.00,0.00,16.00,0.00
192.168.20.43,52.119.198.109,174905015.00,0.00,25.00,0.00
192.168.20.43,54.158.105.246,96995782.00,0.00,34.00,0.00
192.168.20.43,100.21.0.103,27102934.00,0.00,76.00,0.00
192.168.20.43,52.46.153.177,595720.00,0.00,12.00,0.00
192.168.20.43,52.202.2.34,12786453.00,0.00,24.00,0.00
192.168.20.48,52.84.177.20,26927652.00,21834464.00,1235.50,991.50
192.168.20.43,52.94.218.244,1500789.00,0.00,39.00,0.00
192.168.20.43,52.46.144.253,1588207.00,0.00,84.00,0.00
192.168.20.48,13.40.227.239,297325.00,0.00,54.00,0.00
192.168.20.48,54.239.27.82,404393.00,0.00,15.00,0.00
13.244.248.70,192.168.20.48,3613.00,0.00,3.00,0.00
142.250.179.99,192.168.20.42,11290.00,0.00,1.00,0.00
192.168.20.43,8.8.8.8,10210409.00,9319275.00,549.00,454.00
34.231.161.19,192.168.20.43,11442137.00,0.00,4.00,0.00
192.168.20.43,54.167.53.194,193752816.50,96291851.50,86.00,32.00
192.168.20.43,52.46.146.139,232147088.00,231013210.00,144.50,120.50
192.168.20.48,3.127.132.111,439318.00,0.00,73.00,0.00
54.91.103.251,192.168.20.48,61760.00,0.00,18.00,0.00
3.114.229.27,192.168.20.48,18807.00,15144.00,2.00,1.00
192.168.20.43,52.46.137.209,1592583.00,0.00,68.00,0.00
192.168.20.45,173.194.76.108,90628520.00,0.00,34.00,0.00
192.168.20.48,13.38.196.8,103364.00,0.00,20.00,0.00
192.168.20.19,8.8.4.4,2339865.50,2169720.50,287.00,237.00
192.168.20.43,34.192.154.181,86378390.00,0.00,1871.00,0.00
192.168.20.45,173.194.76.109,20088696.00,0.00,7.00,0.00
209.54.181.12,192.168.20.43,1419.00,0.00,3.00,0.00
192.168.20.48,52.78.101.129,3665650.00,2589541.00,62.50,45.50
192.168.20.43,3.232.127.207,20103589.00,12774520.00,195.00,93.00
54.239.38.89,192.168.20.43,3549.00,0.00,1.00,0.00
52.202.2.34,192.168.20.48,15690.00,11212.00,4.00,3.00
192.168.20.43,18.203.57.224,16566318102.00,0.00,2733.00,0.00
18.214.151.92,192.168.20.48,11183.00,0.00,1.00,0.00
192.168.20.42,216.58.198.202,17352307.00,0.00,200.00,0.00
192.168.20.43,52.46.145.112,499858.00,0.00,21.00,0.00
35.76.66.254,192.168.20.48,126529.00,0.00,12.00,0.00
192.168.20.43,18.205.68.150,76892.00,0.00,1.00,0.00
192.168.20.43,52.95.123.112,212239602.00,0.00,68.00,0.00
52.84.177.10,192.168.20.45,135233.00,0.00,56.00,0.00
192.168.20.43,54.239.33.155,278481455.00,0.00,39.00,0.00
52.46.144.253,192.168.20.43,8359.00,0.00,4.00,0.00
192.168.20.48,13.37.195.75,371629.00,0.00,89.00,0.00
192.168.20.18,8.8.8.8,15484.00,0.00,1.00,0.00
52.39.190.49,192.168.20.43,1076.00,0.00,1.00,0.00
52.46.137.209,192.168.20.43,30289.00,0.00,8.00,0.00
192.168.20.48,13.245.47.131,996062.00,335058.00,27.00,9.00
192.168.20.43,3.89.179.154,879824424.00,0.00,112.00,0.00
52.24.199.99,192.168.20.48,19580.00,0.00,4.00,0.00
192.168.20.43,54.161.84.13,19354060.00,0.00,192.00,0.00
192.168.20.43,52.94.221.55,411443652.00,0.00,266.00,0.00
3.127.132.111,192.168.20.48,59886.00,0.00,4.00,0.00
192.168.20.43,151.101.1.16,1679022.00,0.00,547.00,0.00
192.168.20.43,52.46.131.184,117417514.00,0.00,11.00,0.00
192.168.20.43,44.198.41.177,97067074.00,0.00,35.00,0.00
